accountNumber,accountType,balance,createdAt,isActive,currency
ES7076524774671594568604,Corporate,12043.39,2020-09-22,True,GTQ
ES1898146578582526675399,Corporate,15962.43,2023-09-25,False,EUR
ES2617691976198340548447,Savings,26864.01,2023-12-07,True,EUR
ES4536156963683347271608,Savings,80137.83,2024-10-20,True,EUR
ES2641655157948696223775,Savings,96767.22,2023-05-31,True,EUR
ES9496661592173219289961,Checking,77266.41,2020-09-05,True,GTQ
ES1257057496918866888787,Checking,72873.91,2022-07-01,True,USD
ES3682639751842452692172,Corporate,73701.75,2023-02-25,False,USD
ES3520280217099545012340,Corporate,27175.15,2022-04-15,True,USD
ES1188046397425723754489,Savings,46937.48,2024-06-24,False,EUR
ES2940854012187000241842,Checking,74868.9,2020-12-01,True,EUR
ES3420240665491075987601,Corporate,70855.17,2024-02-10,False,EUR
ES4978041175333715567410,Savings,53513.77,2023-03-22,False,USD
ES6009290712836167981229,Checking,92795.03,2022-09-18,False,EUR
ES9344999543370549595651,Corporate,32253.17,2020-03-17,True,USD
ES6300681750427928694037,Corporate,64104.99,2024-02-27,False,GTQ
ES5317034770119627388084,Corporate,85977.21,2020-10-09,False,EUR
ES9811296749488686762763,Checking,80429.32,2022-01-08,False,GTQ
ES7460089171968527511385,Corporate,39724.22,2021-12-25,True,GTQ
ES9850492379758329966244,Corporate,59283.7,2020-12-27,True,GTQ
ES4028244289011652433163,Checking,68094.1,2020-10-25,True,EUR
ES2736503132234617936634,Corporate,2047.22,2022-01-11,True,USD
ES7319893049042511598465,Savings,41713.63,2023-11-19,True,GTQ
ES8261111892521343924279,Checking,35800.13,2020-09-04,False,EUR
ES1174919517809411964614,Savings,4370.13,2025-01-02,True,USD
ES4431585309135387295549,Corporate,66003.95,2021-09-24,True,GTQ
ES6735638401859587867811,Corporate,13057.22,2021-01-08,True,USD
ES5343474896214137851275,Corporate,13860.82,2020-11-02,True,USD
ES8457877235499964646321,Corporate,19242.04,2021-10-26,False,EUR
ES1035376423626679532273,Corporate,93682.02,2024-10-15,False,EUR
ES0942654336446323488703,Checking,69529.93,2022-12-21,False,EUR
ES5903655172164597409760,Savings,78292.4,2021-08-10,False,USD
ES5684188739790942119746,Checking,39470.45,2023-10-21,True,EUR
ES5975608626772913554838,Checking,18615.02,2020-12-10,True,EUR
ES2783295548533937226309,Savings,61419.89,2022-09-12,True,GTQ
ES4103908981721905919203,Checking,11734.62,2020-12-20,False,USD
ES8947926528728348532994,Corporate,64690.48,2024-12-12,False,GTQ
ES6534193588831909459880,Checking,11225.42,2021-11-12,True,USD
ES4262416106429485270100,Corporate,73026.97,2023-02-08,False,USD
ES8659762387039383986670,Checking,15736.57,2024-07-28,True,USD
ES4839776417763526517468,Corporate,39657.9,2023-07-23,True,GTQ
ES2843901350441752862356,Checking,90557.14,2023-02-21,True,GTQ
ES8858515439183191285680,Corporate,94051.2,2023-01-27,False,EUR
ES8184034594009344639351,Checking,40987.36,2021-07-07,True,GTQ
ES6210728895890435969556,Savings,1327.43,2020-09-27,False,USD
ES5835038710313743383461,Corporate,53995.1,2024-02-01,False,EUR
ES8797058202566205645495,Corporate,30979.98,2022-07-22,True,GTQ
ES7289469983582399295254,Corporate,9976.03,2025-01-27,False,USD
ES7580026456497212792836,Checking,76284.86,2022-02-09,False,GTQ
ES3360566251268451886930,Savings,18485.21,2020-04-09,True,EUR
ES3876098266763105839553,Corporate,19909.31,2020-05-17,False,USD
ES6387822735761068915372,Corporate,69195.42,2023-07-14,False,USD
ES5109517735483354531846,Corporate,44360.39,2022-06-25,True,USD
ES7103530185425668259683,Savings,20116.18,2024-02-22,True,EUR
ES5526265312243854117710,Checking,7236.27,2020-12-13,False,EUR
ES5891184555099834865499,Corporate,96530.43,2023-06-05,False,USD
ES1965656315190921715898,Savings,34589.23,2022-02-19,False,GTQ
ES4407620377009955577023,Savings,41145.28,2021-10-10,True,GTQ
ES1756768247594137642017,Corporate,52788.84,2022-06-24,True,GTQ
ES8703422197614861158219,Corporate,24065.58,2022-12-09,True,USD
ES3856322805808326867713,Corporate,15017.46,2024-09-12,True,EUR
ES3231922905298584645593,Corporate,5534.37,2020-07-27,True,USD
ES1956519747976435742370,Savings,63633.48,2020-04-22,False,USD
ES8343733204070314664762,Checking,61511.36,2022-01-12,True,USD
ES4349228928769356376410,Savings,50217.21,2021-06-28,True,USD
ES1491211862389316157683,Savings,43194.93,2024-08-07,False,EUR
ES3381004318092404181322,Savings,97609.47,2021-08-14,True,EUR
