accountNumber,deviceId,lastUsed,frequency,isVerified
ES4788603228299582800219,2a2f6709-f151-49f0-a4ed-6afcf1a09a72,2025-01-23 19:18:15.608217,42,True
ES1999300954353977475906,3598cce2-8797-472a-8d56-ed50b3d81dee,2025-02-07 14:12:42.761356,85,True
ES5373050434098969718326,f626a0e1-3102-47aa-bbdd-2ef02fd0f47b,2025-02-25 13:03:26.194387,63,False
ES7840805500140365614222,d023ca17-0b27-4690-8744-64f54f9bfb5f,2025-02-15 13:25:45.814970,6,False
ES7245193261864564470320,1ca8d806-a73b-4c62-b760-06c0d9427972,2025-01-27 01:20:30.996996,64,True
ES2972977355777834538160,90765049-555a-4d68-8dac-0859f4401d07,2025-02-12 00:56:08.635584,83,True
ES7296409053749353410690,ccf09822-d84c-4b6f-b802-c5204b7983e3,2025-02-12 12:34:45.436080,19,False
ES3068254761069999723998,45be02e8-1c98-4b62-b168-287850c085b7,2025-02-16 18:56:37.528974,53,True
ES3635282767333106340180,441eca1b-aafe-48e7-b34b-045478d9fd7f,2025-02-02 06:37:23.334257,93,False
ES0276643357277334455389,8945445f-e056-469c-9d0c-b335fef7f9eb,2025-01-23 16:04:17.540608,13,True
ES3551741989356413775964,35d4602d-6b01-4560-b0ac-d7a58441b7f3,2025-01-05 13:06:27.995446,34,False
ES1393736616650242033883,76a02b4c-325a-4c80-b0c6-ecf06cea6a0a,2025-01-03 03:03:29.240680,93,True
ES7235512382485400737294,8b60baa0-0ca6-43ef-bc09-32ab42dfd8cd,2025-01-22 15:47:27.589863,22,False
ES1698053208500137927139,a1a4ac41-9019-4e6e-9d0b-673848421987,2025-02-14 19:18:23.187122,97,False
ES9695897649472656390864,1f398932-865c-4ea1-a69b-b2cf1a227bb1,2025-01-21 19:21:04.425953,81,True
ES5251617984569878946670,8242f949-6355-4e57-bb21-8c14e62de7a4,2025-01-13 06:09:33.497325,15,False
ES2568417392714109832751,16ce00e4-d7f5-46f6-b156-6504e89cd9c1,2025-02-21 13:53:13.833680,86,True
ES4624294860566996025641,0fdca68b-7ebf-476f-a539-6eb6d0bbf619,2025-01-01 01:56:15.230181,96,False
ES3378971111992344449923,0a3190f5-4cde-4462-b456-eea43d1edc23,2025-02-26 01:58:17.846600,73,True
ES8460447359882703026512,82e1ee3a-5ec3-4f58-b9bc-76cd27c73c8c,2025-01-28 11:15:33.672328,85,True
ES2154619064688849886109,2f07a8ff-5418-4f6b-8e86-8040888538e2,2025-02-22 01:08:27.973616,55,False
ES0933713814327378562122,e604389d-6bd1-46ca-b169-748380d44813,2025-02-05 00:21:06.755471,69,False
ES9646139023967360436568,f0e125df-9851-4428-a87a-500fab4cdbbc,2025-02-09 15:05:40.001362,82,False
ES2489562849835289160499,6514cad0-f8cd-4b13-9ed9-2dc04bcb7922,2025-01-21 04:02:48.951718,1,True
ES4671557600856982420056,4300b168-76a8-47a3-a167-5aba0e33c899,2025-02-08 10:56:56.917804,36,False
ES5952356326766057491499,e1086cb0-8763-457b-a010-d13ab2633d2b,2025-01-19 07:50:57.866481,36,False
ES5555173907028883702005,95d2b2fd-60b7-458b-9b6e-bcf1f6ac0e6f,2025-02-20 23:28:25.968352,75,True
ES8363821458981278653471,4b8bd3ac-118c-4d4d-a201-8a333f498edb,2025-02-10 14:04:48.220081,63,False
ES8785133353179836864268,6cb51c90-f550-4da4-b353-eb1c42d82bd0,2025-01-06 17:00:55.872159,30,False
ES9384121935146949451386,9679ec0d-1dc5-4988-a423-de118f750fcf,2025-01-16 01:56:33.664903,30,False
ES2230428648402326599594,5413e331-ce5f-4bea-a8e9-093f7be728fb,2025-01-04 04:01:46.647298,100,True
ES6944917967329929588040,6cf77e7e-b4c7-48f8-9e81-71ea3949e527,2025-02-21 16:35:32.927279,30,False
ES3854469931531802208141,f1d07496-227e-4622-9de5-4da4022c126a,2025-01-26 22:18:52.273828,13,False
ES1510834583621794386754,db74a8d9-eba7-406b-b630-0a2e0caa3d4b,2025-01-07 17:21:08.600318,7,False
ES8079412509404978800303,9e682587-0df5-4550-a4ef-8b24885e67f7,2025-02-05 19:41:35.405823,8,False
ES2701896776865713030551,b3544642-57ea-465b-b816-69f62f801934,2025-01-14 08:41:05.091847,3,False
ES5841303885434716821751,e8165daa-1660-4552-a2c9-1176bd8bfc4d,2025-02-04 23:51:00.266811,97,False
ES1235905781210753920651,0732ab76-02b5-4645-820d-5ef697fa07c4,2025-02-15 02:50:40.061760,31,True
ES2649132277533120494233,4da12e62-6d05-41e7-b7fb-628c180f4e66,2025-02-25 08:06:50.671007,52,False
ES8807162078246432565862,724a68f3-0804-4f48-bb0a-2a7470fedc0f,2025-02-13 06:41:15.486844,64,False
ES1375321256156836796247,8242f949-6355-4e57-bb21-8c14e62de7a4,2025-02-19 17:32:44.259747,88,False
ES7602559957701388677927,bafc6d0c-3ab8-497a-bb23-3f269b8ac802,2025-01-01 10:54:58.120318,51,False
ES1772643813275606108985,26b4e332-0223-46a3-bf61-f1d298b522f6,2025-01-22 10:22:05.072876,42,True
ES7234922205904191206147,33032afb-4028-49fa-b88b-e35c37cfef88,2025-02-08 21:52:54.038151,3,True
ES4498647810470082709059,5f504a91-800c-426b-b0a3-0bc5dac3df9c,2025-01-29 10:43:32.735236,22,False
ES5908645044766020984255,1ca8d806-a73b-4c62-b760-06c0d9427972,2025-02-15 05:53:50.021446,100,True
ES6116704748279381181701,fa17bd00-5535-4370-ab67-cceea5fa68f2,2025-02-22 06:49:21.152721,98,True
ES1422049176798560292008,e2d56125-cd20-4af0-ab3b-ab44ca0b70c0,2025-01-08 02:22:02.366481,79,False
ES8637348645811733021834,7097837c-7b65-4f5a-844f-ff38362c90bd,2025-02-04 04:53:20.408495,77,True
ES8363239623931323009774,6fe0a026-9287-4400-9120-9b6e2cf288eb,2025-01-16 10:17:54.851812,80,False
ES2975748808499201694487,9f6f46af-9896-426a-95b5-d705965a8fe2,2025-02-17 01:12:18.394990,21,True
ES3235010978244854544283,df5ec51f-e824-4f1a-be45-e10912e07e5a,2025-01-17 14:52:26.620498,38,True
ES8993549584475112317576,09e1d678-2987-42d5-9e87-935b56bc8a73,2025-01-05 02:43:23.854215,54,True
ES7871863627311760991484,73bdf715-9092-4204-b560-85f680414959,2025-01-01 05:45:16.832491,59,True
ES9627616069154426248294,dd7982a0-a670-4fb1-8330-78b62b0ff521,2025-01-04 07:11:30.502170,69,True
ES8465315543270002038001,8945445f-e056-469c-9d0c-b335fef7f9eb,2025-02-02 12:32:56.810828,95,False
ES4841660495011982802884,f0f6e50c-fc17-4a7a-b437-1cfe18dac75f,2025-02-08 23:49:54.399255,27,False
ES4309513593239395221412,44ebf865-6032-4e80-8dde-0d42d7a50fa6,2025-02-07 21:54:40.325495,12,False
ES5685792370127725752077,6e945179-a7bc-4ded-bbd0-91b79399aab4,2025-02-12 23:06:43.748473,29,True
ES1629263410000841886696,48471968-7c48-4380-9378-176b53c8c403,2025-01-20 02:26:04.270472,16,False
ES4181216403572649672618,e8165daa-1660-4552-a2c9-1176bd8bfc4d,2025-02-22 19:31:11.494579,58,False
ES6078187691121313943426,25e71895-ee3b-4d73-af60-1abe177ec80f,2025-01-20 23:33:19.178350,9,False
ES4429589532764690137848,4158888c-002d-45d9-9538-f39e93029b75,2025-01-04 03:46:57.928827,62,True
ES3360566251268451886930,691c2731-02dd-47ff-aa83-db7e5f45903e,2025-01-18 04:28:31.976624,36,False
