accountA,accountB,linkageType,confidenceScore,detectedAt
ES1828238194015326888498,ES2230482171467575884263,suspiciousActivity,1,2025-02-24
ES9662582318391561421406,ES2923382085490865068984,commonOwner,1,2025-01-01
ES6614476321468323087289,ES4826322338986112018824,sharedDevice,1,2025-01-22
ES2863556033010204838854,ES7656721172663341609187,sharedDevice,1,2025-01-03
ES8364595964735174171505,ES6133346454409068220073,sharedDevice,1,2025-02-19
ES4349228928769356376410,ES9284087768922279144918,commonOwner,1,2025-01-06
ES7389478173487907782685,ES5468203993779902023925,commonOwner,1,2025-02-03
ES7131196208264078997180,ES8143105975696236439196,suspiciousActivity,1,2025-02-11
ES1965656315190921715898,ES8419504458912328989141,suspiciousActivity,1,2025-02-11
ES8979756870731355565898,ES8633340801640470671163,sharedDevice,1,2025-02-23
ES5014019604500434059643,ES0983849507674799078913,sharedDevice,1,2025-02-22
ES8633340801640470671163,ES2859937983178488316634,suspiciousActivity,1,2025-01-26
ES4429589532764690137848,ES4693608332849750592166,commonOwner,1,2025-01-28
ES3201988811555265052736,ES6377008734808747496220,sharedDevice,1,2025-01-06
ES2136658072454523411397,ES4535316040900466609583,commonOwner,1,2025-01-22
ES2315841346868154497471,ES1960724093363428167272,commonOwner,1,2025-02-02
ES2171449656321763387596,ES8887148674389654726781,commonOwner,1,2025-01-08
ES5139019441124708651287,ES8036352201653556247038,sharedDevice,1,2025-01-01
ES6984257033000986378169,ES5093888340704078397595,commonOwner,1,2025-02-06
ES6370765824389310700439,ES2710724337419643059713,suspiciousActivity,1,2025-01-19
ES1995935487506337225289,ES2436688681553225127270,commonOwner,1,2025-02-03
ES8021558370174413072223,ES3757206038682510475386,sharedDevice,1,2025-02-19
ES2732816690151124698902,ES1012945429020731983709,commonOwner,1,2025-01-06
ES0543939602889317424963,ES6568375403510749222306,suspiciousActivity,1,2025-01-31
ES7844973767273775565142,ES1937506557159301830550,sharedDevice,1,2025-01-24
ES7627472023103381524417,ES3380453447726421438000,commonOwner,1,2025-02-03
ES6427302031535675370062,ES9145913507721908841056,suspiciousActivity,1,2025-02-21
ES5735080262497121454491,ES4417998374065391567844,suspiciousActivity,1,2025-01-29
ES4446329018034774204532,ES5785312005933379830495,commonOwner,1,2025-02-04
ES9344999543370549595651,ES2519951087881443674053,suspiciousActivity,1,2025-01-14
ES7703475405837425986817,ES0760488832304265820745,commonOwner,1,2025-01-29
ES5673681569110747113600,ES3483341977908834928051,commonOwner,1,2025-01-11
ES7372042202202404382446,ES3142996280609202975611,sharedDevice,1,2025-01-14
ES5934180294801174233074,ES1986595490743648811829,sharedDevice,1,2025-02-24
ES8192924688729351826658,ES5109517735483354531846,suspiciousActivity,1,2025-02-09
ES1347370062553947276027,ES9162754585620034358446,sharedDevice,1,2025-01-04
ES9496661592173219289961,ES0919927893022469129931,suspiciousActivity,1,2025-02-18
ES1698053208500137927139,ES8522775737532404546779,commonOwner,1,2025-01-01
ES5056824525341992234645,ES2154619064688849886109,suspiciousActivity,1,2025-01-05
ES4296485409636190724658,ES2297711170753608256612,commonOwner,1,2025-01-03
ES1130142245144112936907,ES8993549584475112317576,commonOwner,1,2025-01-06
ES9811143058390449615952,ES4348843176969335655671,suspiciousActivity,1,2025-01-15
ES9407297851812263976895,ES5846128063540202250637,commonOwner,1,2025-01-17
ES6326315505829657290784,ES1744370962262299709468,sharedDevice,1,2025-01-29
ES0528858859460970781872,ES8968839532728744443347,sharedDevice,1,2025-01-19
ES8110314498399499114740,ES5488134691569026106159,commonOwner,1,2025-02-24
ES0369086261969966318100,ES3098388841647557980709,sharedDevice,1,2025-01-01
ES2884152174042968916803,ES8572209776742916094999,commonOwner,1,2025-02-21
ES9598306125390988048555,ES8623151584777979762247,commonOwner,1,2025-01-03
ES8524355576964248851262,ES0400651353074085248893,commonOwner,1,2025-01-26
ES4253604153608723724140,ES3917050787684764411484,sharedDevice,1,2025-01-28
ES7418088172176107962241,ES2741728738988597032200,suspiciousActivity,1,2025-01-05
ES6391482763265324546600,ES6548334763744193873811,commonOwner,1,2025-02-17
ES0943734770265543847454,ES8314289310258605440503,sharedDevice,1,2025-02-25
ES9627550562748741324498,ES6892902768828734833940,suspiciousActivity,1,2025-01-31
ES5952356326766057491499,ES1812636909412209566351,sharedDevice,1,2025-02-05
ES0980369420301142697181,ES4335334315137958148519,sharedDevice,1,2025-01-30
ES1572580700766129644669,ES4129074525234470363479,commonOwner,1,2025-01-27
ES3457007863123541818177,ES6494639225252170405947,sharedDevice,1,2025-01-20
ES6237843700402926890382,ES3653485809625841698762,suspiciousActivity,1,2025-01-01
ES9129333308406870864755,ES5280358744044530664414,commonOwner,1,2025-01-05
ES7499866574411792971213,ES8261244268232787202081,suspiciousActivity,1,2025-01-23
ES5960313181861229896879,ES2909799662197426872422,sharedDevice,1,2025-01-28
ES9848186807513688396090,ES7227655281935185846824,suspiciousActivity,1,2025-02-18
ES1043751592594872692136,ES1130142245144112936907,sharedDevice,1,2025-02-09
ES1879692392441981432102,ES0598934036196960876162,suspiciousActivity,1,2025-01-05
ES9876033885535420111683,ES0647084976412716357368,suspiciousActivity,1,2025-01-09
ES3039870258455619095786,ES7270304752322224830393,suspiciousActivity,1,2025-01-05
ES7525261536938960329993,ES8858515439183191285680,suspiciousActivity,1,2025-01-07
ES8710593893241595046210,ES1999738942459992590721,sharedDevice,1,2025-02-07
ES6886877065287776387877,ES6344042742582876580386,sharedDevice,1,2025-01-22
ES1025911867637584880183,ES6799029635583137362265,sharedDevice,1,2025-01-20
ES5352266773672844684077,ES5468203993779902023925,commonOwner,1,2025-01-06
ES5425693083161591145310,ES6329100621131702000786,commonOwner,1,2025-01-30
ES0899076251132109932136,ES5215874571454396005398,commonOwner,1,2025-02-14
ES7120234426294357863021,ES5328008909258436303865,commonOwner,1,2025-01-07
ES6136738591080196092757,ES4138949485988157538105,suspiciousActivity,1,2025-02-01
ES0248989348471896770967,ES6391482763265324546600,commonOwner,1,2025-01-22
ES8648636517739769705732,ES4707567661224499143550,suspiciousActivity,1,2025-01-12
ES5802453581590253494967,ES8141681582690077909894,sharedDevice,1,2025-01-12
ES5798214636874623746012,ES4222764779628062087191,commonOwner,1,2025-01-14
ES4968179693390839797363,ES9752127766879497396080,sharedDevice,1,2025-02-12
ES9265850900601169309387,ES2279520101943827705735,suspiciousActivity,1,2025-01-02
ES1352675669292624394020,ES1605311595139442357729,suspiciousActivity,1,2025-01-12
ES1778160038951054685432,ES9003084824802721751774,sharedDevice,1,2025-02-01
ES5530834116730447232362,ES4915977757552945371644,commonOwner,1,2025-02-22
ES7818654554373280613581,ES8900687551731692494324,sharedDevice,1,2025-01-13
ES9781041783664564559645,ES9258795836649852770427,sharedDevice,1,2025-01-27
ES7998151462299264469786,ES5488134691569026106159,commonOwner,1,2025-01-12
ES8821155311256078562014,ES3201988811555265052736,sharedDevice,1,2025-02-19
ES8496640835114645021314,ES6352793156694488251465,suspiciousActivity,1,2025-01-03
ES4513979835584243090405,ES1038803515085356193284,suspiciousActivity,1,2025-02-23
ES2725578089498971423736,ES9114983511815952719875,suspiciousActivity,1,2025-01-10
ES0534033160706698525697,ES8601919860806793088508,sharedDevice,1,2025-02-12
ES9704483132992255329872,ES9876250924681282418927,sharedDevice,1,2025-01-24
ES3456328733781876261894,ES0916672384957097705552,sharedDevice,1,2025-02-21
ES3927228281265090567901,ES7028957922932021526980,commonOwner,1,2025-02-18
ES9481278569747398008009,ES6337854064657423717933,suspiciousActivity,1,2025-02-08
ES5920397484750775847455,ES3854469931531802208141,suspiciousActivity,1,2025-01-31
ES2040862046622983345277,ES5825636638047988632645,suspiciousActivity,1,2025-01-27
ES5685062821279379662179,ES7601309909378698310061,suspiciousActivity,1,2025-01-16
ES2386938027246736935262,ES4861793984992011321212,sharedDevice,1,2025-01-02
ES0645602198235637888597,ES2933357859280488384816,suspiciousActivity,1,2025-01-20
ES5358039231093948068921,ES6195287096722911887109,sharedDevice,1,2025-02-23
ES8364595964735174171505,ES3757206038682510475386,suspiciousActivity,1,2025-01-09
ES5519913544640731010360,ES6530717697812952390242,sharedDevice,1,2025-01-19
ES3942510652768487432136,ES6619843792025937718152,sharedDevice,1,2025-02-17
ES6714416750246896926808,ES3543609758096018356219,suspiciousActivity,1,2025-02-12
ES2523914462643716314147,ES8437844063728676234868,suspiciousActivity,1,2025-01-04
ES1880012972530079705880,ES7951296503677753885927,commonOwner,1,2025-02-16
ES6554979810448968727736,ES3424258117254585397605,sharedDevice,1,2025-01-05
ES2911000918627972006423,ES3051605242011717336397,sharedDevice,1,2025-01-02
ES2068967898839454346306,ES4922258846648044784903,commonOwner,1,2025-01-11
ES2610399085970120748636,ES0682076248700062686096,suspiciousActivity,1,2025-01-18
ES2523914462643716314147,ES3380453447726421438000,sharedDevice,1,2025-02-03
ES4074606074444447561782,ES0932369878488019127078,sharedDevice,1,2025-01-15
ES8288131340069102242660,ES3457007863123541818177,sharedDevice,1,2025-01-28
ES2863556033010204838854,ES5134268131329680964287,commonOwner,1,2025-02-11
ES1566595662473818349406,ES0644053955694278454177,suspiciousActivity,1,2025-01-03
ES3482091879307405725853,ES6844442248424703344645,commonOwner,1,2025-01-16
ES3472452000312339468067,ES3809114607377680045465,sharedDevice,1,2025-02-09
ES3116297957317939164048,ES7361456224538601291177,sharedDevice,1,2025-01-27
ES6900233487363010999417,ES6530717697812952390242,sharedDevice,1,2025-02-08
ES3896178778428093438980,ES9620630151485562777796,sharedDevice,1,2025-01-16
ES7458057190023837344820,ES9229624935725240252798,suspiciousActivity,1,2025-01-14
ES5836871869115472445979,ES6292945657319564531311,suspiciousActivity,1,2025-01-27
ES4922258846648044784903,ES3572649238077861503648,sharedDevice,1,2025-01-29
ES5463943001713121179722,ES3483341977908834928051,sharedDevice,1,2025-02-14
ES8089943174026556748808,ES9400249647707859804987,suspiciousActivity,1,2025-01-24
ES2486707506421912462459,ES3080998436592330308281,sharedDevice,1,2025-01-13
ES1974400961353235622228,ES1478140193652890571946,suspiciousActivity,1,2025-02-22
ES4320981450409098702395,ES1352675669292624394020,suspiciousActivity,1,2025-01-14
ES2849063742375126437843,ES8555558255565484961746,suspiciousActivity,1,2025-01-18
ES2667954307485109986660,ES5680141750338652059699,commonOwner,1,2025-01-30
ES7589995242464348682278,ES5672504706052886373177,suspiciousActivity,1,2025-02-13
ES6193589292584310940203,ES9016625950658720369099,suspiciousActivity,1,2025-02-07
ES1390982630740411341356,ES0921709907517074322042,commonOwner,1,2025-02-10
ES5519913544640731010360,ES8536556231976531194048,sharedDevice,1,2025-02-14
ES5468203993779902023925,ES3485423244465861162500,commonOwner,1,2025-01-04
ES5987852034370778876144,ES2409709056262785875753,commonOwner,1,2025-01-10
ES9217159237960432167022,ES4959246107067748326989,commonOwner,1,2025-01-11
ES0459107936807456890696,ES6199994225353037442021,suspiciousActivity,1,2025-02-06
ES4536156963683347271608,ES0518413111726713395665,commonOwner,1,2025-02-05
ES3577758203856647890232,ES7729107768956311421285,commonOwner,1,2025-01-04
ES3648838751283044114186,ES4567656082945186236174,suspiciousActivity,1,2025-01-18
ES6352793156694488251465,ES2520628888914161316508,suspiciousActivity,1,2025-02-18
ES0586072653337532709378,ES9249056240926109063785,commonOwner,1,2025-01-20
ES4102963442817154495374,ES1860041498967007045416,suspiciousActivity,1,2025-01-17
ES2972977355777834538160,ES1734911537611316146985,commonOwner,1,2025-01-22
ES5920397484750775847455,ES0671374570615143362515,sharedDevice,1,2025-02-07
ES4915977757552945371644,ES7369707062521688048625,sharedDevice,1,2025-02-19
ES7740387598847819839301,ES2637347815936883721825,suspiciousActivity,1,2025-02-09
ES0475739697493382440323,ES5608188292488580120402,suspiciousActivity,1,2025-02-25
ES4348843176969335655671,ES8472416446314642838654,suspiciousActivity,1,2025-02-09
ES5093888340704078397595,ES6619843792025937718152,commonOwner,1,2025-01-23
ES0606203047144689829635,ES2356363806349646396978,sharedDevice,1,2025-02-25
ES5651126801193411703797,ES3455793800325302603457,sharedDevice,1,2025-01-20
ES4376413422057169786220,ES3721074837772563943131,sharedDevice,1,2025-01-27
ES9789916743215765289964,ES5583005330870672747039,sharedDevice,1,2025-02-06
ES9247391537713432376618,ES9291992882251588941497,commonOwner,1,2025-02-24
ES2712095558860728038549,ES4536156963683347271608,suspiciousActivity,1,2025-02-14
ES2526734560495812750782,ES6400219614303716501659,sharedDevice,1,2025-02-24
ES8471703774561937126869,ES4833375129241264134404,commonOwner,1,2025-01-06
ES2353288281232747518816,ES2271005230050804756774,commonOwner,1,2025-01-24
ES2621920460513166182184,ES5975735059688308706565,commonOwner,1,2025-02-16
ES0598934036196960876162,ES6352663983491525287731,commonOwner,1,2025-01-27
ES1375321256156836796247,ES0746630552228740891140,suspiciousActivity,1,2025-01-14
ES4773521955467951355519,ES2104376114988445143975,sharedDevice,1,2025-01-01
ES3865014538846360619148,ES1271582399127901510789,suspiciousActivity,1,2025-01-15
ES0543939602889317424963,ES1344929367741033244572,commonOwner,1,2025-01-18
ES6554979810448968727736,ES6289212608981349246603,commonOwner,1,2025-01-10
ES1898146578582526675399,ES1765121866213478659618,commonOwner,1,2025-02-11
ES1393736616650242033883,ES0616837103344283741631,suspiciousActivity,1,2025-01-19
ES3978714505440472960131,ES0660452484461801345740,suspiciousActivity,1,2025-01-10
ES9662582318391561421406,ES5667304429230682099302,commonOwner,1,2025-01-24
ES0422620647398985298515,ES5852866104086467955474,sharedDevice,1,2025-01-04
ES5136224433798770992559,ES1207655595066476530335,commonOwner,1,2025-02-20
ES8105934812082948631094,ES7278587213579164649956,suspiciousActivity,1,2025-01-13
ES1088708790572104865483,ES0916672384957097705552,suspiciousActivity,1,2025-01-21
ES6584617318124780959655,ES9265850900601169309387,suspiciousActivity,1,2025-01-09
ES7166558609894750021008,ES1653753485816153224621,sharedDevice,1,2025-02-05
ES0886132122721420666882,ES1616337994827191425133,commonOwner,1,2025-01-22
ES1778160038951054685432,ES8710593893241595046210,suspiciousActivity,1,2025-02-23
ES7330913638126271260748,ES7076310850247541299087,suspiciousActivity,1,2025-01-19
ES6552524687215554837659,ES5760510089322228014529,sharedDevice,1,2025-01-01
ES7671760195595103827764,ES2696489416476898728879,suspiciousActivity,1,2025-01-20
ES5749372169946035044684,ES2765410814313933870222,sharedDevice,1,2025-01-05
ES5159881318033110626407,ES3306463561558555389993,commonOwner,1,2025-02-07
ES1198565085688994143608,ES1868552435157326897192,sharedDevice,1,2025-01-15
ES7870775599902132489880,ES1930027049113832298487,suspiciousActivity,1,2025-01-28
ES3256693110934442741302,ES0893811340570314865988,suspiciousActivity,1,2025-02-06
ES1507383563900060780749,ES9421710171672466810699,commonOwner,1,2025-02-06
ES1142034300938436444850,ES1443609018530368203230,suspiciousActivity,1,2025-02-25
ES5583005330870672747039,ES7019296221924921403939,sharedDevice,1,2025-01-03
ES1566595662473818349406,ES1740176563463239701086,sharedDevice,1,2025-02-25
ES0609249267350678182195,ES0885804866535989692439,commonOwner,1,2025-01-08
ES2742539596207874570221,ES3972946371326158755491,sharedDevice,1,2025-01-30
ES2812987510856474817153,ES6770331263676574873263,sharedDevice,1,2025-01-16
ES5018494269107408422194,ES7825897034713726842362,suspiciousActivity,1,2025-01-06
ES4176434043300196108025,ES6337228534766458825331,commonOwner,1,2025-01-24
ES2697654561555436082733,ES2657065106341599856514,suspiciousActivity,1,2025-01-20
ES6167210746204793748474,ES0892125347735569441976,sharedDevice,1,2025-01-22
ES5013320635151448446453,ES4071840474767686829916,sharedDevice,1,2025-01-28
ES1043751592594872692136,ES9393052673632474562322,suspiciousActivity,1,2025-01-27
ES1642654953229385233444,ES8512828520715596216383,suspiciousActivity,1,2025-02-25
ES1926008958632373551829,ES0970483249462025039188,commonOwner,1,2025-01-23
ES6967009927397946823768,ES8496640835114645021314,suspiciousActivity,1,2025-02-14
ES1088708790572104865483,ES3283898432443310597935,commonOwner,1,2025-01-06
ES0347057638213024351711,ES8261244268232787202081,sharedDevice,1,2025-01-30
ES8553258673017221109682,ES5056021490644299973422,suspiciousActivity,1,2025-01-03
ES6337854064657423717933,ES1025911867637584880183,commonOwner,1,2025-02-01
ES1161302834530329978522,ES5762597103772943139546,sharedDevice,1,2025-02-21
ES0738131435132869681318,ES3269659795390060771155,suspiciousActivity,1,2025-02-05
ES3612113353398774554277,ES5662777540390714146439,commonOwner,1,2025-01-02
