accountNumber,branchCode,openHours,establishedYear
ES7076524774671594568604,BR-92688,"['08:54', '22:52']",1996
ES1898146578582526675399,BR-23028,"['05:02', '11:48']",1996
ES2617691976198340548447,BR-47149,"['13:13', '11:34']",2013
ES4536156963683347271608,BR-50883,"['10:38', '08:15']",1996
ES2641655157948696223775,BR-33610,"['09:56', '21:13']",2012
ES9496661592173219289961,BR-77943,"['20:47', '15:54']",1996
ES1257057496918866888787,BR-23028,"['15:31', '05:09']",2014
ES3682639751842452692172,BR-34639,"['05:13', '23:22']",1990
ES3520280217099545012340,BR-95600,"['04:48', '10:41']",2020
ES1188046397425723754489,BR-09866,"['04:24', '05:53']",2000
ES2940854012187000241842,BR-66075,"['11:12', '02:12']",1990
ES3420240665491075987601,BR-17362,"['04:48', '10:41']",1990
ES4978041175333715567410,BR-61372,"['08:33', '05:16']",2000
ES6009290712836167981229,BR-03970,"['11:31', '11:29']",1990
ES9344999543370549595651,BR-80428,"['02:42', '20:58']",2015
ES6300681750427928694037,BR-63831,"['09:36', '23:48']",1990
ES5317034770119627388084,BR-71032,"['14:39', '04:32']",1994
ES9811296749488686762763,BR-40385,"['18:55', '00:23']",1998
ES7460089171968527511385,BR-54802,"['16:10', '14:57']",2019
ES9850492379758329966244,BR-16884,"['02:12', '10:25']",2019
ES4028244289011652433163,BR-35054,"['20:02', '18:44']",1995
ES2736503132234617936634,BR-50348,"['16:09', '07:27']",1991
ES7319893049042511598465,BR-02860,"['11:12', '02:12']",1994
ES8261111892521343924279,BR-36784,"['06:31', '07:15']",1994
ES1174919517809411964614,BR-51162,"['23:58', '07:29']",2016
ES4431585309135387295549,BR-34639,"['04:14', '03:32']",1997
ES6735638401859587867811,BR-49773,"['05:13', '23:22']",1998
ES5343474896214137851275,BR-17919,"['22:02', '03:57']",2012
ES8457877235499964646321,BR-90780,"['12:03', '03:29']",1995
ES1035376423626679532273,BR-27654,"['23:07', '09:01']",2017
ES0942654336446323488703,BR-06363,"['23:55', '11:30']",2020
ES5903655172164597409760,BR-33047,"['00:56', '17:57']",2006
ES5684188739790942119746,BR-62011,"['07:39', '18:36']",2015
ES5975608626772913554838,BR-12610,"['03:35', '07:14']",2016
ES2783295548533937226309,BR-93804,"['05:08', '22:50']",2020
ES4103908981721905919203,BR-33335,"['23:55', '11:30']",2015
ES8947926528728348532994,BR-71032,"['09:36', '15:32']",2020
ES6534193588831909459880,BR-37852,"['07:59', '06:04']",2008
ES4262416106429485270100,BR-63758,"['03:35', '07:14']",2003
ES8659762387039383986670,BR-43674,"['07:57', '17:56']",1991
ES4839776417763526517468,BR-29515,"['01:20', '05:25']",1999
ES2843901350441752862356,BR-87724,"['09:46', '12:23']",2021
