customerId,accountNumber,ownershipType,since,sharePercentage
9848959b-c626-4a6e-b7e7-08305180484a,ES1179083470619264810674,joint,2023-02-22,88.37
93c26872-4c89-413a-b6b4-f1605e98daa8,ES1679206064890857177093,joint,2023-07-13,83.79
24c1aa92-3ce4-4d51-a4be-7efde6d9f501,ES8261244268232787202081,joint,2025-01-22,54.32
2449e401-245e-47d9-8f44-f21d52c640cc,ES2987512914699480936024,primary,2025-01-26,66.64
1228db11-a0b6-4ce1-8946-1272165a7273,ES6427302031535675370062,joint,2023-03-01,72.54
ebd85cf8-baa4-4513-96a3-caa7bc40d9bb,ES2214502510000957787653,primary,2024-01-21,94.49
c28671a7-2948-47da-9dbf-39ee0db3b72c,ES3612113353398774554277,primary,2024-03-28,79.94
6f24466f-06f2-43da-b1f8-3a36b51f325d,ES6673401745156104461362,primary,2023-03-22,92.55
54fbe266-4488-43a2-bf08-7c8e8d19378f,ES9473626625944376556457,primary,2023-06-09,91.23
3beb1f02-2232-4bd6-87fd-84287c23cab9,ES2608965622657249915501,joint,2024-05-15,94.04
6f045110-57c1-491f-86b2-f3aa567675c2,ES2226350606026274502572,primary,2024-10-06,75.98
e2df00ac-8db2-4f59-9fd0-3e66b1970ce6,ES3520280217099545012340,joint,2024-06-22,96.73
b6c51a20-28be-453e-b9b9-396194d6fa49,ES3725448490603821501501,primary,2022-05-14,86.99
e4b378de-9ca4-443a-bb02-da8233f3f927,ES7642564628355949903519,joint,2022-03-02,74.46
cb92b954-b2fa-4770-ae84-ac9d9958548e,ES9883472324867801327767,joint,2024-01-24,77.42
8e6db76f-7fe2-4fdc-91ba-21fab9221a74,ES1609600827336176095117,joint,2022-11-29,60.95
aee70965-db31-4356-91a3-5d84da4f7ecf,ES7338755533073916626547,joint,2023-09-19,84.39
ed74514a-9820-4cdf-9f5d-bcf60e232985,ES7295136195508703466991,joint,2023-02-02,57.79
2f12d88f-acc1-4ba5-ac39-9f6f4a25ce28,ES8532395634544473541812,primary,2024-05-17,85.81
3d8fdd34-7a7b-4f29-97a8-3a42c6126cc3,ES0280988875724827735948,primary,2024-08-23,74.76
ca0adbc4-2908-4cc4-92c7-49d6fadbd189,ES3131165484241562210304,joint,2022-09-23,62.09
d595673d-a613-466c-b0de-16ac5310e8f9,ES3872464845976324022794,primary,2024-04-11,77.1
22d307f5-acc7-4d85-a9aa-d41d1220ba7e,ES0959757367122906552134,primary,2022-08-21,51.18
2ac899fc-f3b4-4cb9-b4b8-1b325bfcfb2b,ES4240154579420022045443,primary,2024-07-28,60.35
a97e620c-c179-4c10-b63e-c13d1cf4c22a,ES2040862046622983345277,primary,2023-03-30,53.35
3a858c23-85f0-4421-af31-d3f87171ae1e,ES3351730215443626378328,primary,2022-10-14,71.1
90ff4dbb-e9d6-4127-8f0b-af3d83a70151,ES8517229686485864953462,joint,2024-10-25,50.53
2cfac7e7-2d84-4cc0-b9c3-de517c219043,ES1126672673768162521314,joint,2024-01-01,69.39
7ed2cb83-8dca-4cc9-beb8-b74bdea8c220,ES5118483061527090783173,joint,2023-08-08,80.96
21193730-ed93-40e7-af99-9c6bece6e22a,ES6979252230475476341680,primary,2024-06-13,83.96
4a3309d4-ba53-423b-bd50-d16a0b5c2d3c,ES1650387965331752510421,joint,2023-02-18,67.57
d3ef211b-cad0-4f79-a062-d1489a2babc5,ES4693608332849750592166,joint,2024-09-09,93.06
8e35ec24-d075-4f78-b8d6-f4da8e6ccf54,ES6895548588851595790958,primary,2024-02-20,71.14
3c3db7ab-342d-4d74-ae5d-8075c280f9ec,ES9387995450504095748983,joint,2023-06-03,97.46
3baf1bef-1b16-41c9-8431-a8bca39cc8ae,ES1772643813275606108985,primary,2025-02-13,69.0
1ac11dc9-c340-45b3-b9a1-f10f6218735f,ES2031636102039930945546,primary,2023-02-17,73.74
6384e081-796a-4679-806a-862e6c30c683,ES6731305350051803508866,primary,2023-07-30,62.27
21fd6682-7d42-47d9-92f6-dbd87090ec91,ES1536393545334097529725,primary,2022-08-31,72.73
096e9f56-369e-4876-b909-37a797d017ed,ES0490750219405157521318,primary,2022-11-22,80.18
6f97d109-94f0-4af1-81cc-807707e2153b,ES7925496606445412301717,joint,2022-04-01,65.49
5636426b-ce3c-48ed-be5d-f5012239f1f9,ES1860041498967007045416,joint,2022-02-27,60.83
c312e886-b56a-4acc-8bf3-5fd5c93d3730,ES9551527276293850425223,primary,2024-03-24,84.19
