sourceAccount,targetAccount,amount,currency,transactionDate,isInternational
ES7567658030967257382240,ES5655085914918711723534,3463.29,GTQ,2025-01-11 08:38:58.423996,False
ES3854469931531802208141,ES2364619004271020017309,194.91,USD,2025-01-18 19:11:48.720115,True
ES3483341977908834928051,ES4922258846648044784903,561.1,GTQ,2025-02-08 20:24:54.553916,True
ES6337228534766458825331,ES2710724337419643059713,2155.04,EUR,2025-02-02 18:23:34.171469,False
ES6972935249110872930420,ES7053487006885787208774,4013.65,EUR,2025-01-27 13:54:06.766129,False
ES0559138311681260012974,ES2996422971220964095353,2145.52,GTQ,2025-01-04 06:44:27.928264,False
ES6226482805098618585485,ES2571184309528108009667,2323.41,USD,2025-02-25 07:36:59.436730,True
ES4330448682073018830585,ES3227034972230944575629,1353.48,EUR,2025-01-22 16:59:21.379349,False
ES7580026456497212792836,ES2625766207046894896321,3748.52,EUR,2025-01-02 10:37:14.078911,True
ES7415474401945109613093,ES9818837057748099217580,2863.72,EUR,2025-01-16 03:42:50.434886,False
ES9567726771918302188864,ES1130142245144112936907,2840.6,USD,2025-02-25 06:43:08.879512,False
ES8552814466960631086598,ES2621920460513166182184,261.26,GTQ,2025-02-23 19:30:17.557350,True
ES5755630449178347894969,ES6953498374001155895065,4810.12,GTQ,2025-01-06 12:55:48.027816,True
ES6151635347496414413080,ES4609985468382670349378,3929.26,USD,2025-01-17 13:35:53.428531,False
ES5762597103772943139546,ES1582187380075359789129,2554.21,EUR,2025-01-21 01:24:29.693767,False
ES3671806404647230305979,ES3351730215443626378328,204.97,USD,2025-01-11 23:54:05.710578,True
ES1168023852898465369545,ES4974662511740534374293,4827.67,EUR,2025-02-02 22:32:09.166862,False
ES5680225942272104627705,ES8140996845588376520899,945.58,GTQ,2025-02-22 14:55:21.900205,True
ES0988645520961603428725,ES1791550426384843723579,4989.38,USD,2025-02-01 00:47:20.088713,False
ES4479035046373138091322,ES4757531323411484583511,3715.29,USD,2025-02-17 20:33:01.021157,False
ES2079290944267434522005,ES3923140348986509811915,17.44,USD,2025-01-13 02:04:34.851445,True
ES2641655157948696223775,ES4841660495011982802884,112.9,GTQ,2025-02-11 23:55:24.234478,False
ES6710725691336269477379,ES0280988875724827735948,1465.54,GTQ,2025-02-24 18:08:31.687649,False
ES3090082629343734551471,ES0779182801687423965981,2972.78,GTQ,2025-01-19 09:19:27.052509,True
ES1257057496918866888787,ES6142112505477522608054,2610.25,GTQ,2025-01-14 05:21:52.491386,True
ES8173636240735630530731,ES6471276310303055163042,604.36,USD,2025-01-10 12:37:33.061606,True
ES7171409303318473518353,ES4448710776318388553692,4280.81,USD,2025-01-12 18:56:23.955080,False
ES6232846163389304596927,ES6370765824389310700439,3709.5,USD,2025-02-05 21:25:44.708285,True
ES8596116550594973879014,ES5673915774716500670391,2477.42,EUR,2025-02-19 23:11:08.316187,False
ES5927426611667347107334,ES9284087768922279144918,3092.7,EUR,2025-01-19 21:48:43.838955,True
ES6237843700402926890382,ES2712095558860728038549,3667.95,EUR,2025-01-16 04:56:47.257172,True
ES4270722068040198150938,ES9627550562748741324498,4334.34,GTQ,2025-01-02 11:16:04.576476,False
ES7368416511387601792582,ES3424258117254585397605,1948.65,USD,2025-01-17 09:10:17.904382,True
ES7289469983582399295254,ES9802234573957806527242,2987.66,GTQ,2025-01-31 18:24:12.015524,False
ES9171552488007495057746,ES0606203047144689829635,1252.72,USD,2025-01-21 16:10:09.792402,True
ES8519582572546025862313,ES9753321715480805044309,1229.15,EUR,2025-02-15 10:46:35.241554,True
ES3828258571349713077664,ES2315841346868154497471,2621.72,USD,2025-01-01 06:59:47.601558,False
ES4585461925011323662068,ES5651947188537092923630,3024.6,GTQ,2025-01-23 19:09:18.483515,False
ES2228001204667826642442,ES8152382000716357711002,1655.33,USD,2025-01-20 04:22:24.668058,False
ES1559195354161371121799,ES5363200192253803546268,100.67,GTQ,2025-02-12 22:37:52.816610,False
ES5908645044766020984255,ES2230482171467575884263,3327.01,USD,2025-01-14 02:20:40.342145,False
ES2987227224937989198027,ES1986340246302334593681,3815.57,EUR,2025-01-05 02:30:18.399087,False
ES7088903795168589831381,ES3231922905298584645593,2237.92,EUR,2025-01-06 05:20:27.055090,False
ES8805953267928791770578,ES9540009600376090670521,4453.95,EUR,2025-02-10 06:54:55.934492,False
ES1642654953229385233444,ES2184886087311372681504,749.87,USD,2025-01-30 18:42:49.484707,True
ES1255306512600814481000,ES3737748452419886708771,698.36,GTQ,2025-01-14 18:10:21.720049,True
ES7195371687435952783195,ES9473626625944376556457,3534.64,GTQ,2025-02-22 07:47:51.836891,True
ES1352675669292624394020,ES9261487901611882873499,769.52,USD,2025-02-08 13:59:00.861395,True
ES1982491985915381323996,ES6826166225312328072759,2986.35,EUR,2025-01-14 06:16:34.562165,True
ES0622243748340843830591,ES3157273745265740975105,4454.51,USD,2025-01-22 06:44:12.878201,True
ES7441002263992259672653,ES9177521696777042628674,2508.98,USD,2025-01-14 14:48:38.770453,False
ES1158124291347200290237,ES7014977834415057898987,1630.56,USD,2025-02-11 07:02:06.787866,False
